symbol,entry_time,exit_time,entry_price,exit_price,quantity,leverage,stop_loss,take_profit,ai_score,exit_reason,gross_profit,entry_fee,exit_fee,net_profit,balance_after
BNBUSDT,2025-07-11T16:30:00+00:00,2025-07-11T20:30:00+00:00,690.617123,692.452202,13.69570856,5,686.96634438,699.74406955,100.0,EMA20_EXIT,25.13270717,4.72924542,4.74181178,15.66164997,5015.66164997
BNBUSDT,2025-07-14T06:00:00+00:00,2025-07-14T07:30:00+00:00,696.80898,705.28538948,14.4326307,5,693.33375656,705.49703859,100.0,TAKE_PROFIT,122.33688766,5.02839334,5.08956178,112.21893254,5127.88058252
BNBUSDT,2025-07-20T22:45:00+00:00,2025-07-21T00:15:00+00:00,755.666632,748.49810983,7.38472131,5,748.72272665,773.02639537,100.0,STOP_LOSS,-52.93753842,2.79019374,2.76372497,-58.49145713,5069.38912539
BNBUSDT,2025-07-22T02:45:00+00:00,2025-07-22T03:15:00+00:00,766.409854,760.47283568,8.87994327,5,760.70104599,780.68187401,100.0,STOP_LOSS,-52.72038591,3.40283801,3.37647782,-59.49970174,5009.88942365
BNBUSDT,2025-07-27T11:30:00+00:00,2025-07-27T12:30:00+00:00,796.959016,793.78146678,17.04424723,5,794.01967268,804.30737429,100.0,STOP_LOSS,-54.15893452,6.79178325,6.76470378,-67.71542156,4942.17400209
BNBUSDT,2025-08-18T23:30:00+00:00,2025-08-19T00:15:00+00:00,849.05464,844.57710124,11.69997439,5,844.83055041,859.61486398,100.0,STOP_LOSS,-52.38708877,4.96695877,4.94076523,-62.29481276,4879.87918933
BNBUSDT,2025-08-19T01:00:00+00:00,2025-08-19T01:45:00+00:00,848.444457,843.16360016,9.70573268,5,843.41662515,861.01403663,100.0,STOP_LOSS,-51.25458479,4.11738755,4.09176025,-59.46373259,4820.41545674
BNBUSDT,2025-09-09T23:15:00+00:00,2025-09-10T00:45:00+00:00,879.783856,877.01871406,16.4372718,5,877.28189863,886.03874942,100.0,STOP_LOSS,-45.45138963,7.23062318,7.20789749,-59.8899103,4760.52554644
BNBUSDT,2025-09-10T01:15:00+00:00,2025-09-10T04:45:00+00:00,879.2637,879.895952,16.24265467,5,876.5224527,886.11681825,100.0,EMA20_EXIT,10.2694509,7.14078832,7.14592305,-4.01726047,4756.50828597
BNBUSDT,2025-09-10T08:30:00+00:00,2025-09-10T13:00:00+00:00,883.144864,890.0575929,16.1576265,5,880.27293348,890.32469031,100.0,TAKE_PROFIT,111.69329171,7.13476243,7.19060907,97.36792021,4853.87620618
BNBUSDT,2025-09-11T11:45:00+00:00,2025-09-11T12:30:00+00:00,899.339721,896.31252352,16.19146612,5,896.58149797,906.23527858,100.0,STOP_LOSS,-49.01476543,7.28081431,7.25630693,-63.55188667,4790.32431951
BNBUSDT,2025-09-12T10:15:00+00:00,2025-09-12T11:45:00+00:00,907.662217,904.56146212,15.83295271,5,904.83291199,914.73547952,100.0,STOP_LOSS,-49.09410544,7.18548648,7.16093943,-63.44053134,4726.88378817
BNBUSDT,2025-09-18T09:00:00+00:00,2025-09-18T18:15:00+00:00,996.528869,989.92519817,7.49513316,5,990.22226485,1012.29537937,100.0,STOP_LOSS,-49.49539221,3.73455829,3.70981059,-56.93976109,4669.94402708
BNBUSDT,2025-09-20T08:45:00+00:00,2025-09-20T14:45:00+00:00,996.828959,1007.41951989,10.71788434,5,992.47180802,1007.72183644,100.0,TAKE_PROFIT,113.5084067,5.34194874,5.39870295,102.76775501,4772.7117821
BNBUSDT,2025-09-24T00:45:00+00:00,2025-09-24T02:30:00+00:00,1017.615193,1018.134468,6.72991154,5,1010.52340323,1035.34466742,100.0,EMA20_EXIT,3.49467481,3.42423012,3.42597745,-3.35553275,4769.35624934
BNBUSDT,2025-09-27T22:30:00+00:00,2025-09-27T23:15:00+00:00,972.041525,967.68019017,11.71560367,5,967.97058134,982.21888415,100.0,STOP_LOSS,-51.09567039,5.69402663,5.66847879,-62.45817581,4706.89807353
BNBUSDT,2025-10-02T00:30:00+00:00,2025-10-02T01:45:00+00:00,1025.417533,1036.37661455,10.44112995,5,1020.90949786,1036.68762084,100.0,TAKE_PROFIT,114.42519464,5.35325886,5.41047145,103.66146432,4810.55953785
BNBUSDT,2025-10-03T04:30:00+00:00,2025-10-03T07:00:00+00:00,1099.049616,1089.0221407,4.95899688,5,1089.34894538,1123.30129255,100.0,STOP_LOSS,-49.72621874,2.72509181,2.7002287,-55.15153925,4755.4079986
BNBUSDT,2025-10-08T00:45:00+00:00,2025-10-08T02:00:00+00:00,1315.864641,1296.51929525,2.50861967,5,1296.90836776,1363.25532409,100.0,STOP_LOSS,-48.53011487,1.65050196,1.6262369,-51.80685374,4703.60114486
BNBUSDT,2025-10-08T09:15:00+00:00,2025-10-08T13:45:00+00:00,1310.232952,1294.24537172,3.01528547,5,1294.63376185,1349.23092737,100.0,STOP_LOSS,-48.20711851,1.97536319,1.95125963,-52.13374134,4651.46740353
BNBUSDT,2025-10-26T14:15:00+00:00,2025-10-26T16:30:00+00:00,1132.73972,1126.37878734,7.72294708,5,1126.71680238,1147.79701404,100.0,STOP_LOSS,-49.12514632,4.37404446,4.34948188,-57.84867266,4593.61873087
BNBUSDT,2025-10-27T08:45:00+00:00,2025-10-27T10:15:00+00:00,1152.74572,1152.95401,5.37584565,5,1144.20079697,1174.10802758,100.0,EMA20_EXIT,1.11973489,3.09849153,3.0990514,-5.07780804,4588.54092283
BNBUSDT,2025-11-08T19:15:00+00:00,2025-11-08T22:15:00+00:00,995.388527,995.40129,5.96344281,5,987.69407755,1014.62465064,100.0,EMA20_EXIT,0.07611142,2.96797128,2.96800933,-5.85986919,4582.68105364
BNBUSDT,2025-11-09T23:00:00+00:00,2025-11-10T00:00:00+00:00,999.129649,992.66069475,7.42607606,5,992.95858232,1014.55731569,100.0,STOP_LOSS,-48.03894632,3.70980638,3.68578691,-55.43453962,4527.24651402
BNBUSDT,2025-11-23T16:15:00+00:00,2025-11-23T23:00:00+00:00,847.2541,849.505072,10.10414569,5,842.77351683,858.45555792,100.0,EMA20_EXIT,22.74414903,4.28038943,4.29176151,14.17199809,4541.41851211
BNBUSDT,2025-11-26T14:45:00+00:00,2025-11-26T16:45:00+00:00,859.827871,871.83127264,9.25684384,5,854.9218592,872.09290051,100.0,TAKE_PROFIT,111.11361453,3.97964617,4.03520297,103.09876539,4644.5172775
BNBUSDT,2025-11-28T14:30:00+00:00,2025-11-28T16:15:00+00:00,895.178473,889.18016746,8.10353384,5,889.44700156,909.5071516,100.0,STOP_LOSS,-48.60747193,3.62705452,3.60275079,-55.83727724,4588.68000026
BNBUSDT,2025-12-08T14:15:00+00:00,2025-12-08T14:45:00+00:00,909.262697,905.34025779,12.56912394,5,905.61194137,918.38958608,100.0,STOP_LOSS,-49.30162461,5.71431777,5.68966695,-60.70560933,4527.97439093
BNBUSDT,2025-12-12T15:00:00+00:00,2025-12-12T15:15:00+00:00,889.2667,885.71128854,13.76443685,5,885.97708166,897.49074585,100.0,STOP_LOSS,-48.93823658,6.12012767,6.09565855,-61.1540228,4466.82036814
BNBUSDT,2025-12-19T17:00:00+00:00,2025-12-19T17:30:00+00:00,849.474766,844.12255079,8.76035659,5,844.37586355,862.22202213,100.0,STOP_LOSS,-46.88731378,3.72085093,3.69740728,-54.30557199,4412.51479615
BNBUSDT,2025-12-21T00:30:00+00:00,2025-12-21T01:30:00+00:00,853.946107,852.28597924,15.50161571,5,852.54174176,857.4570201,100.0,STOP_LOSS,-25.7346626,6.61877219,6.60590486,-38.95933966,4373.55545649
BNBUSDT,2025-12-22T09:45:00+00:00,2025-12-22T13:30:00+00:00,862.468663,862.751097,10.74476013,5,858.39825528,872.6446823,100.0,EMA20_EXIT,3.03468558,4.63350945,4.63502679,-6.23385066,4367.32160583
BNBUSDT,2025-12-22T16:30:00+00:00,2025-12-22T19:15:00+00:00,867.120058,862.49968596,10.01324557,5,862.75851351,878.02391922,100.0,STOP_LOSS,-46.2649199,4.34134304,4.31821058,-54.92447352,4312.39713231
BNBUSDT,2025-12-27T22:30:00+00:00,2025-12-28T01:00:00+00:00,842.062543,842.107292,15.36369419,5,840.29409565,846.48366138,100.0,EMA20_EXIT,0.68750995,6.4685957,6.46893945,-12.2500252,4300.1471071
BNBUSDT,2025-12-29T01:00:00+00:00,2025-12-29T02:00:00+00:00,861.038234,868.37506553,14.15002016,5,857.99926511,868.63565623,100.0,TAKE_PROFIT,103.8163141,6.09185418,6.14376234,91.58069758,4391.72780468
BNBUSDT,2025-12-31T14:30:00+00:00,2025-12-31T14:45:00+00:00,869.490769,865.89833664,13.1781423,5,866.1581841,877.82223126,100.0,STOP_LOSS,-47.34158478,5.72913654,5.70546575,-58.77618707,4332.95161761
BNBUSDT,2026-01-02T11:00:00+00:00,2026-01-02T11:30:00+00:00,869.580796,866.68447401,14.94841527,5,866.94455738,876.17139256,100.0,STOP_LOSS,-43.29542382,6.49942742,6.47777971,-56.27263096,4276.67898665
BNBUSDT,2026-01-04T06:30:00+00:00,2026-01-04T08:00:00+00:00,885.545584,882.51528234,14.48828518,5,882.78011637,892.45925307,100.0,STOP_LOSS,-43.9038747,6.41501848,6.39306654,-56.71195973,4219.96702693
BNBUSDT,2026-01-04T15:00:00+00:00,2026-01-04T15:45:00+00:00,887.886286,885.20873033,14.25847125,5,885.47437264,893.91606939,100.0,STOP_LOSS,-38.17785057,6.32995054,6.31086162,-50.81866272,4169.1483642
BNBUSDT,2026-01-05T14:45:00+00:00,2026-01-05T20:15:00+00:00,904.781353,914.93518836,9.99469968,5,900.60999368,915.20975129,100.0,TAKE_PROFIT,101.48453507,4.52150895,4.57225122,92.3907749,4261.5391391
BNBUSDT,2026-01-13T07:45:00+00:00,2026-01-13T12:00:00+00:00,910.323015,906.91071093,13.57113581,5,907.18286579,918.17338804,100.0,STOP_LOSS,-46.30884196,6.17705863,6.15390421,-58.6398048,4202.8993343
BNBUSDT,2026-01-18T14:15:00+00:00,2026-01-18T14:45:00+00:00,947.68422,945.06360075,13.30474618,5,945.34720491,953.52675773,100.0,STOP_LOSS,-34.86667398,6.304349,6.28691567,-47.45793864,4155.44139566
BNBUSDT,2026-01-27T15:15:00+00:00,2026-01-27T16:00:00+00:00,882.684726,890.32975263,13.12984506,5,879.51984372,890.59693171,100.0,TAKE_PROFIT,100.37801514,5.79475684,5.84494585,88.73831244,4244.1797081
BNBUSDT,2026-02-14T23:15:00+00:00,2026-02-15T01:15:00+00:00,632.569714,629.50147031,14.74013055,5,629.69037742,639.76805544,100.0,STOP_LOSS,-45.2263126,4.66208008,4.63946693,-54.52785961,4189.65184849
BNBUSDT,2026-03-02T14:15:00+00:00,2026-03-02T14:45:00+00:00,621.906516,631.09835924,11.16498596,5,618.15402418,631.28774556,100.0,TAKE_PROFIT,102.62680068,3.47178876,3.52310216,95.63190976,4285.28375825
BNBUSDT,2026-03-09T19:30:00+00:00,2026-03-09T22:30:00+00:00,637.911316,637.878579,9.15078759,5,633.22834886,649.61873386,100.0,EMA20_EXIT,-0.29956933,2.91869548,2.91854569,-6.1368105,4279.14694775
BNBUSDT,2026-03-10T15:30:00+00:00,2026-03-10T18:00:00+00:00,647.504193,643.02285917,9.97849501,5,643.21582392,658.2251157,100.0,STOP_LOSS,-44.71696723,3.23055868,3.2082002,-51.15572611,4227.99122164
BNBUSDT,2026-03-12T15:30:00+00:00,2026-03-12T16:00:00+00:00,652.305633,648.10178956,10.54531636,5,648.29627844,662.3290194,100.0,STOP_LOSS,-44.33085904,3.43938463,3.4172192,-51.18746287,4176.80375877
BNBUSDT,2026-03-17T00:15:00+00:00,2026-03-17T03:30:00+00:00,681.154285,676.08378592,8.58080478,5,676.28667192,693.3233177,100.0,STOP_LOSS,-43.50896276,2.92242597,2.90067149,-49.33206022,4127.47169855
BNBUSDT,2026-03-25T07:45:00+00:00,2026-03-25T09:30:00+00:00,643.763071,649.31101472,17.96804238,5,641.46595281,649.50586648,100.0,TAKE_PROFIT,99.68568788,5.78358107,5.83342392,88.0686829,4215.54038145
BNBUSDT,2026-03-25T16:45:00+00:00,2026-03-25T18:45:00+00:00,647.754268,644.25737326,12.76060063,5,644.45070847,656.01316684,100.0,STOP_LOSS,-44.62247725,4.13286676,4.11055552,-52.86589954,4162.67448191
BNBUSDT,2026-04-07T10:15:00+00:00,2026-04-07T10:30:00+00:00,601.800486,599.32505055,18.13340099,5,599.50490202,607.53944596,100.0,STOP_LOSS,-44.88806365,5.45634476,5.43390073,-55.77830915,4106.89617276
BNBUSDT,2026-04-15T02:15:00+00:00,2026-04-15T03:15:00+00:00,617.625232,615.07248324,17.34205453,5,615.25706036,623.5456611,100.0,STOP_LOSS,-44.26990816,5.35544523,5.33331027,-54.95866366,4051.9375091
BNBUSDT,2026-04-15T15:30:00+00:00,2026-04-15T19:30:00+00:00,618.805586,625.19762014,15.39571897,5,616.17372612,625.38523571,100.0,TAKE_PROFIT,98.40996126,4.76347845,4.81268343,88.83379938,4140.77130848
BNBUSDT,2026-04-15T20:30:00+00:00,2026-04-15T23:00:00+00:00,622.856801,622.783109,16.27495678,5,620.31254152,629.2174497,100.0,EMA20_EXIT,-1.19933412,5.06848376,5.06788409,-11.33570196,4129.43560651
BNBUSDT,2026-04-18T02:45:00+00:00,2026-04-18T03:15:00+00:00,644.353248,641.63057551,16.32106994,5,641.82312245,650.67856188,100.0,STOP_LOSS,-44.43692808,5.25826721,5.23604875,-54.93124404,4074.50436247
BNBUSDT,2026-04-24T16:00:00+00:00,2026-04-24T17:30:00+00:00,638.881607,636.47998502,18.43149483,5,636.67098632,644.4081587,100.0,STOP_LOSS,-44.26548303,5.88777152,5.86563878,-56.01889333,4018.48546914
BNBUSDT,2026-05-03T17:30:00+00:00,2026-05-03T21:30:00+00:00,619.925922,618.56599406,19.44660802,5,618.75161955,622.86167812,100.0,STOP_LOSS,-26.4459855,6.0277282,6.01450521,-38.48821892,3979.99725022
BNBUSDT,2026-05-04T06:15:00+00:00,2026-05-04T10:00:00+00:00,629.178697,625.21653905,10.54433316,5,625.4041603,638.61503875,100.0,STOP_LOSS,-41.77831344,3.3171349,3.29624574,-48.39169408,3931.60555614
BNBUSDT,2026-05-05T04:30:00+00:00,2026-05-05T09:00:00+00:00,626.38786,626.751918,18.82989346,5,624.50070193,631.10575518,100.0,EMA20_EXIT,6.85517335,5.89740833,5.90083592,-4.9430709,3926.66248524
BNBUSDT,2026-05-07T09:15:00+00:00,2026-05-07T10:15:00+00:00,649.434772,646.60337283,14.88861043,5,646.79741205,656.02817187,100.0,STOP_LOSS,-42.15559927,4.83459066,4.81351286,-51.80370279,3874.85878245
BNBUSDT,2026-05-12T12:30:00+00:00,2026-05-12T13:15:00+00:00,663.028849,660.34991995,15.61961482,5,660.54808438,669.23076054,100.0,STOP_LOSS,-41.84383982,5.17812762,5.1572057,-52.17917313,3822.67960932
BNBUSDT,2026-05-15T09:15:00+00:00,2026-05-15T12:00:00+00:00,683.865098,684.034728,9.88226416,5,679.99687555,693.53565413,100.0,EMA20_EXIT,1.67632847,3.37906777,3.37990594,-5.08264524,3817.59696408
BNBUSDT,2026-05-25T15:15:00+00:00,2026-05-25T17:00:00+00:00,668.610523,666.03910479,16.0974998,5,666.23897648,674.5393893,100.0,STOP_LOSS,-41.39340417,5.38147888,5.36078218,-52.13566523,3765.46129885
BNBUSDT,2026-05-26T13:15:00+00:00,2026-05-26T14:15:00+00:00,661.568411,667.07222169,16.50362165,5,659.28681404,667.27240341,100.0,TAKE_PROFIT,90.83280924,5.45913738,5.50455378,79.86911809,3845.33041694
BNBUSDT,2026-05-26T15:00:00+00:00,2026-05-26T15:30:00+00:00,663.569011,660.00940225,11.43917065,5,660.20746449,671.97287727,100.0,STOP_LOSS,-40.71897193,3.79533958,3.77498009,-48.2892916,3797.04112534
BNBUSDT,2026-06-08T13:15:00+00:00,2026-06-08T20:15:00+00:00,600.190003,605.628257,9.67245055,5,596.26437825,610.00406487,100.0,EMA20_EXIT,52.60124289,2.90265406,2.92895468,46.76963415,3843.81075949
BNBUSDT,2026-06-14T07:00:00+00:00,2026-06-14T12:45:00+00:00,610.573117,611.076622,18.88624304,5,608.99893034,614.50858364,100.0,EMA20_EXIT,9.5093178,5.76571614,5.7704708,-2.02686914,3841.78389035
BNBUSDT,2026-06-15T15:15:00+00:00,2026-06-15T17:15:00+00:00,624.447278,625.31235,10.50490048,5,620.79014303,633.59011543,100.0,EMA20_EXIT,9.08749527,3.27987826,3.284422,2.52319501,3844.30708536
BNBUSDT,2026-06-20T15:30:00+00:00,2026-06-20T17:30:00+00:00,586.866007,584.18449479,15.33916102,5,584.35980273,593.13151768,100.0,STOP_LOSS,-41.13214758,4.50101609,4.48045002,-50.11361368,3794.19347167
BNBUSDT,2026-06-21T04:45:00+00:00,2026-06-21T08:30:00+00:00,589.416772,587.66407441,19.31159912,5,587.84042654,593.35763565,100.0,STOP_LOSS,-33.8473932,5.69129021,5.67436651,-45.21304992,3748.98042176
BNBUSDT,2026-07-01T22:30:00+00:00,2026-07-01T23:30:00+00:00,554.046164,551.14613086,13.70922996,5,551.31152432,560.8827632,100.0,STOP_LOSS,-39.75722117,3.79777314,3.77789452,-47.33288883,3701.64753293
BNBUSDT,2026-07-03T15:15:00+00:00,2026-07-03T20:15:00+00:00,565.639641,571.69093284,14.87118915,5,563.15050076,571.86249159,100.0,TAKE_PROFIT,89.98990559,4.20586705,4.250862,81.53317655,3783.18070947
BNBUSDT,2026-07-04T10:15:00+00:00,2026-07-04T15:00:00+00:00,572.431678,577.50592761,18.02354564,5,570.33265665,577.67923138,100.0,TAKE_PROFIT,91.45596945,5.15862424,5.20435222,81.09299299,3864.27370246
BNBUSDT,2026-07-05T11:00:00+00:00,2026-07-05T12:15:00+00:00,575.312542,580.9742664,16.55341001,5,572.97811441,581.14861098,100.0,TAKE_PROFIT,93.7208453,4.7616922,4.80855262,84.15060049,3948.42430295
BNBUSDT,2026-07-06T01:15:00+00:00,2026-07-06T02:00:00+00:00,590.347051,586.92002515,12.14564566,5,587.096154,598.47429351,100.0,STOP_LOSS,-41.6234416,3.58507305,3.56426133,-48.77277597,3899.65152698
XRPUSDT,2025-07-11T15:45:00+00:00,2025-07-11T20:30:00+00:00,2.77323172,2.77906603,608.10176413,5,2.69100864,2.97878941,100.0,EMA20_EXIT,3.5478542,0.84320355,0.84497748,1.85967318,5001.85967318
XRPUSDT,2025-07-13T13:00:00+00:00,2025-07-13T14:15:00+00:00,2.80224042,2.86336778,2017.31408718,5,2.77744577,2.86422705,100.0,TAKE_PROFIT,123.31308824,2.82649954,2.88815608,117.59843262,5119.4581058
XRPUSDT,2025-07-13T15:30:00+00:00,2025-07-13T19:45:00+00:00,2.8298487,2.84474632,1371.56973638,5,2.79252316,2.92316254,100.0,EMA20_EXIT,20.43312474,1.94066742,1.95088398,16.54157334,5135.99967914
XRPUSDT,2025-07-16T14:00:00+00:00,2025-07-16T17:15:00+00:00,2.96168824,3.01536089,2352.6166124,5,2.93985723,3.01626577,100.0,TAKE_PROFIT,126.27116865,3.48385848,3.54699406,119.24031612,5255.23999525
XRPUSDT,2025-07-17T19:45:00+00:00,2025-07-17T21:00:00+00:00,3.30669171,3.44007541,977.42066008,5,3.2529253,3.44110774,100.0,TAKE_PROFIT,130.37198183,1.6160144,1.68120039,127.07476704,5382.3147623
XRPUSDT,2025-07-21T09:15:00+00:00,2025-07-21T12:00:00+00:00,3.54516323,3.51335099,1749.89555935,5,3.51440531,3.62205804,100.0,STOP_LOSS,-55.6681003,3.1018327,3.07399865,-61.84393164,5320.47083066
XRPUSDT,2025-07-21T16:00:00+00:00,2025-07-21T16:15:00+00:00,3.59387784,3.55347831,1352.6676926,5,3.55454467,3.69221076,100.0,STOP_LOSS,-54.64714363,2.43066122,2.40333765,-59.4811425,5260.98968816
XRPUSDT,2025-07-26T16:30:00+00:00,2025-07-26T17:30:00+00:00,3.19645865,3.17574515,2662.37815366,5,3.17669816,3.24585986,100.0,STOP_LOSS,-55.14716842,4.25509084,4.22751726,-63.62977651,5197.35991164
XRPUSDT,2025-08-08T14:00:00+00:00,2025-08-08T14:30:00+00:00,3.33570041,3.30483998,1740.07017104,5,3.30583173,3.41037211,100.0,STOP_LOSS,-53.69931287,2.90217639,2.87532674,-59.476816,5137.88309565
XRPUSDT,2025-08-17T16:15:00+00:00,2025-08-17T16:45:00+00:00,3.1279381,3.1144466,4091.68440246,5,3.11538121,3.15933034,100.0,STOP_LOSS,-55.20297797,6.39926777,6.37166628,-67.97391201,5069.90918363
XRPUSDT,2025-08-27T14:45:00+00:00,2025-08-27T18:45:00+00:00,3.00640165,3.00759745,2740.32554982,5,2.98790053,3.05265445,100.0,EMA20_EXIT,3.27688129,4.11925963,4.12089807,-4.9632764,5064.94590723
XRPUSDT,2025-09-03T14:00:00+00:00,2025-09-03T16:30:00+00:00,2.85535635,2.85734254,2945.18804469,5,2.83815899,2.89834974,100.0,EMA20_EXIT,5.84970304,4.20478069,4.20770554,-2.56278319,5062.38312404
XRPUSDT,2025-09-07T09:30:00+00:00,2025-09-07T13:30:00+00:00,2.82994873,2.84414343,5366.58110131,5,2.82392945,2.84499693,100.0,TAKE_PROFIT,76.1770137,7.59357469,7.63166319,60.95177582,5123.33489986
XRPUSDT,2025-09-11T05:00:00+00:00,2025-09-11T07:15:00+00:00,3.00280057,2.99053531,4506.87149602,5,2.99143274,3.03122014,100.0,STOP_LOSS,-55.27794988,6.76661815,6.73897917,-68.78354721,5054.55135265
XRPUSDT,2025-09-28T00:30:00+00:00,2025-09-28T01:30:00+00:00,2.80674177,2.78971183,3121.48460774,5,2.79054899,2.84722373,100.0,STOP_LOSS,-53.15871024,4.38060062,4.35402126,-61.89333212,4992.65802053
XRPUSDT,2025-10-02T05:30:00+00:00,2025-10-02T07:45:00+00:00,2.96759001,2.96830924,2858.39636045,5,2.95012337,3.01125662,100.0,EMA20_EXIT,2.05584441,4.24127424,4.24230216,-6.42773199,4986.23028854
XRPUSDT,2025-10-03T17:00:00+00:00,2025-10-03T17:45:00+00:00,3.05911746,3.03114037,1842.14795339,5,3.03204998,3.12678615,100.0,STOP_LOSS,-51.53794828,2.81767348,2.79190451,-57.14752628,4929.08276226
XRPUSDT,2025-10-13T17:00:00+00:00,2025-10-13T21:45:00+00:00,2.59737898,2.61571505,1349.70183625,5,2.56085919,2.68867846,100.0,EMA20_EXIT,24.74822735,1.75284359,1.7652177,21.23016606,4950.31292832
XRPUSDT,2025-10-19T05:15:00+00:00,2025-10-19T06:30:00+00:00,2.35840731,2.34591298,4198.61762114,5,2.34661697,2.38788316,100.0,STOP_LOSS,-52.45889349,4.95102524,4.9247958,-62.33471453,4887.97821378
XRPUSDT,2025-10-20T15:45:00+00:00,2025-10-20T16:00:00+00:00,2.46353884,2.44716764,3125.93934562,5,2.44790201,2.50263091,100.0,STOP_LOSS,-51.1753801,3.85043649,3.8248488,-58.8506654,4829.12754838
XRPUSDT,2025-10-26T12:15:00+00:00,2025-10-26T16:30:00+00:00,2.64119212,2.6236319,2879.1267029,5,2.62441923,2.68312434,100.0,STOP_LOSS,-50.55808613,3.80216338,3.77688434,-58.13713385,4770.99041454
XRPUSDT,2025-10-29T18:00:00+00:00,2025-10-29T18:30:00+00:00,2.64019182,2.61837424,2268.46185736,5,2.61915999,2.6927714,100.0,STOP_LOSS,-49.49234351,2.99458722,2.96984105,-55.45677177,4715.53364276
XRPUSDT,2025-11-06T03:15:00+00:00,2025-11-06T06:30:00+00:00,2.35590656,2.32231608,1433.57264328,5,2.32301298,2.43814052,100.0,STOP_LOSS,-48.15439878,1.6886816,1.6646044,-51.50768478,4664.02595798
XRPUSDT,2025-11-23T16:45:00+00:00,2025-11-23T21:00:00+00:00,2.05451617,2.05868221,2470.99011132,5,2.03564104,2.101704,100.0,EMA20_EXIT,10.29424364,2.53834457,2.54349169,5.21240738,4669.23836537
XRPUSDT,2025-11-23T22:00:00+00:00,2025-11-23T23:15:00+00:00,2.06792019,2.04973456,2657.42602264,5,2.05034966,2.11184652,100.0,STOP_LOSS,-48.32697942,2.74767246,2.72350897,-53.79816085,4615.44020451
XRPUSDT,2025-11-24T14:15:00+00:00,2025-11-24T17:00:00+00:00,2.07122118,2.1245371,2138.6204524,5,2.04963979,2.12517465,100.0,TAKE_PROFIT,114.02251183,2.21477799,2.27178924,109.5359446,4724.97614911
XRPUSDT,2025-11-29T16:15:00+00:00,2025-11-29T18:00:00+00:00,2.21016285,2.19583407,3456.49956811,5,2.19649302,2.24433742,100.0,STOP_LOSS,-49.52741464,3.81971347,3.79494976,-57.14207787,4667.83407124
XRPUSDT,2025-11-30T03:45:00+00:00,2025-11-30T05:15:00+00:00,2.20706192,2.19549463,4279.10321846,5,2.19615348,2.23433302,100.0,STOP_LOSS,-49.49761094,4.72212288,4.69737408,-58.9171079,4608.91696334
XRPUSDT,2025-11-30T17:00:00+00:00,2025-11-30T19:15:00+00:00,2.19925958,2.19914006,4148.07421428,5,2.1881486,2.22703703,100.0,EMA20_EXIT,-0.49577783,4.56134598,4.56109809,-9.6182219,4599.29874144
XRPUSDT,2025-12-03T07:15:00+00:00,2025-12-03T10:30:00+00:00,2.19355787,2.17705554,2901.94519374,5,2.17770885,2.23318041,100.0,STOP_LOSS,-47.88886493,3.18279236,3.15884793,-54.23050522,4545.06823622
XRPUSDT,2025-12-21T00:00:00+00:00,2025-12-21T01:30:00+00:00,1.93107915,1.9314204,6393.7510093,5,1.92397054,1.94885067,100.0,EMA20_EXIT,2.18186753,6.17341963,6.17451057,-10.16606267,4534.90217356
XRPUSDT,2025-12-21T10:15:00+00:00,2025-12-21T12:30:00+00:00,1.93718098,1.92733202,4891.7082662,5,1.92791039,1.96035744,100.0,STOP_LOSS,-48.17825429,4.73806211,4.71397298,-57.63028938,4477.27188418
XRPUSDT,2025-12-22T13:00:00+00:00,2025-12-22T15:30:00+00:00,1.93187939,1.92179004,4706.65544389,5,1.92236675,1.95566098,100.0,STOP_LOSS,-47.48709422,4.54634532,4.52260178,-56.55604132,4420.71584286
XRPUSDT,2025-12-28T14:45:00+00:00,2025-12-28T16:15:00+00:00,1.87166133,1.86586148,7085.76242721,5,1.86642141,1.88476113,100.0,STOP_LOSS,-41.09633387,6.63107376,6.6105256,-54.33793323,4366.37790963
XRPUSDT,2026-01-04T13:15:00+00:00,2026-01-04T18:30:00+00:00,2.09632871,2.079035,2619.33273962,5,2.0796589,2.13800324,100.0,STOP_LOSS,-45.29797469,2.74549121,2.72284222,-50.76630813,4315.6116015
XRPUSDT,2026-01-14T15:30:00+00:00,2026-01-14T18:30:00+00:00,2.14794419,2.12826586,2266.64320765,5,2.12890453,2.19554334,100.0,STOP_LOSS,-44.60375611,2.43431155,2.41200968,-49.45007734,4266.16152416
XRPUSDT,2026-01-28T12:45:00+00:00,2026-01-28T14:45:00+00:00,1.92677786,1.91556221,4009.24508957,5,1.91613705,1.95337987,100.0,STOP_LOSS,-44.96629416,3.86246234,3.83997919,-52.66873569,4213.49278847
XRPUSDT,2026-01-28T21:00:00+00:00,2026-01-29T00:30:00+00:00,1.91827531,1.90259609,2788.86516356,5,1.90316704,1.95604599,100.0,STOP_LOSS,-43.72723076,2.67490559,2.65304198,-49.05517833,4164.43761014
XRPUSDT,2026-02-10T04:15:00+00:00,2026-02-10T06:15:00+00:00,1.44823434,1.4356674,3431.44352691,5,1.43609823,1.47857463,100.0,STOP_LOSS,-43.12274309,2.48476718,2.4632058,-48.07071607,4116.36689407
XRPUSDT,2026-02-17T02:15:00+00:00,2026-02-17T04:30:00+00:00,1.48734607,1.47500731,3460.25715427,5,1.47544994,1.51708639,100.0,STOP_LOSS,-42.6952998,2.57329994,2.55195229,-47.82055203,4068.54634203
